Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1276400;1278527;"<c.bg_transparent>This table is very well made.</c.bg_transparent>"
2;1279278;1280737;"<c.bg_transparent>So are the women.</c.bg_transparent>"
3;1301508;1302551;"<c.bg_transparent>Cheers.</c.bg_transparent>"
4;1302926;1303969;"<c.bg_transparent>Drink?</c.bg_transparent>"
5;1366740;1368158;"<c.bg_transparent>What a terrible noise.</c.bg_transparent>"
6;1368867;1370911;"<c.bg_transparent>These people are so strange.</c.bg_transparent>"
7;1409282;1410867;"<c.bg_transparent>Stop it.</c.bg_transparent>"
8;1412702;1413954;"<c.bg_transparent>Stop making me laugh,</c.bg_transparent>"
9;1414454;1416123;"<c.bg_transparent>I'm trying to be serious.</c.bg_transparent>"
10;1576700;1580328;"<c.bg_transparent>He wants one of us to become Christian.</c.bg_transparent>"
11;1585333;1586584;"<c.bg_transparent>Tostig!</c.bg_transparent>"
12;1588753;1590880;"<c.bg_transparent>I will be a Christian.</c.bg_transparent>"
