Number;Start time in milliseconds;End time in milliseconds;"Text"
1;1431596;1433974;"<c.bg_transparent>Did you see that, Brother Athelstan?</c.bg_transparent>"
2;1434558;1436017;"<c.bg_transparent>Did you see that?</c.bg_transparent>"
3;1436560;1438478;"<c.bg_transparent>Tell me you saw it.</c.bg_transparent>"
4;1439312;1442732;"<c.bg_transparent>Yes, Brother. Yes, I saw.</c.bg_transparent>"
5;1443733;1448196;"<c.bg_transparent>It is written and so it has come to pass.</c.bg_transparent>"
6;1455704;1457372;"<c.bg_transparent>God help us, Brother Athelstan.</c.bg_transparent>"
7;1458582;1460041;"<c.bg_transparent>God help us.</c.bg_transparent>"
8;1539663;1540747;"<c.bg_transparent>Father!</c.bg_transparent>"
